year,month,day,hour,trips,day_of_week,event_of_day
2016,7,15,2,5,6, 
2016,7,15,5,1,6, 
2016,7,15,6,3,6, 
2016,7,15,7,3,6, 
2016,7,15,8,28,6, 
2016,7,15,9,35,6, 
2016,7,15,10,23,6, 
2016,7,15,11,21,6, 
2016,7,15,12,35,6, 
2016,7,15,13,52,6, 
2016,7,15,14,29,6, 
2016,7,15,15,26,6, 
2016,7,15,16,21,6, 
2016,7,15,17,29,6, 
2016,7,15,18,38,6, 
2016,7,15,19,41,6, 
2016,7,15,20,20,6, 
2016,7,15,21,28,6, 
2016,7,15,22,21,6, 
2016,7,15,23,13,6, 
2016,7,15,24,4,6, 
2016,7,16,0,412,7, 
2016,7,16,1,10,7, 
2016,7,16,2,3,7, 
2016,7,16,4,1,7, 
2016,7,16,5,2,7, 
2016,7,16,6,3,7, 
2016,7,16,7,4,7, 
2016,7,16,8,4,7, 
2016,7,16,9,8,7, 
2016,7,16,10,12,7, 
2016,7,16,11,15,7, 
2016,7,16,12,23,7, 
2016,7,16,13,31,7, 
2016,7,16,14,37,7, 
2016,7,16,15,42,7, 
2016,7,16,16,43,7, 
2016,7,16,17,32,7, 
2016,7,16,18,26,7, 
2016,7,16,19,8,7, 
2016,7,16,20,21,7, 
2016,7,16,21,31,7, 
2016,7,16,22,32,7, 
2016,7,16,23,16,7, 
2016,7,16,24,8,7, 
2016,7,17,0,354,1, 
2016,7,17,1,7,1, 
2016,7,17,2,4,1, 
2016,7,17,3,2,1, 
2016,7,17,4,1,1, 
2016,7,17,8,3,1, 
2016,7,17,9,6,1, 
2016,7,17,10,11,1, 
2016,7,17,11,28,1, 
2016,7,17,12,28,1, 
2016,7,17,13,24,1, 
2016,7,17,14,31,1, 
2016,7,17,15,29,1, 
2016,7,17,16,33,1, 
2016,7,17,17,29,1, 
2016,7,17,18,21,1, 
2016,7,17,19,26,1, 
2016,7,17,20,19,1, 
2016,7,17,21,29,1, 
2016,7,17,22,10,1, 
2016,7,17,23,9,1, 
2016,7,17,24,4,1, 
2016,7,18,0,433,2, 
2016,7,18,1,1,2, 
2016,7,18,2,2,2, 
2016,7,18,4,3,2, 
2016,7,18,5,2,2, 
2016,7,18,6,1,2, 
2016,7,18,7,9,2, 
2016,7,18,8,23,2, 
2016,7,18,9,23,2, 
2016,7,18,10,19,2, 
2016,7,18,11,15,2, 
2016,7,18,12,31,2, 
2016,7,18,13,30,2, 
2016,7,18,14,32,2, 
2016,7,18,15,18,2, 
2016,7,18,16,18,2, 
2016,7,18,17,24,2, 
2016,7,18,18,37,2, 
2016,7,18,19,52,2, 
2016,7,18,20,28,2, 
2016,7,18,21,32,2, 
2016,7,18,22,15,2, 
2016,7,18,23,9,2, 
2016,7,18,24,9,2, 
2016,7,19,0,496,3, 
2016,7,19,1,2,3, 
2016,7,19,2,1,3, 
2016,7,19,4,4,3, 
2016,7,19,5,2,3, 
2016,7,19,6,2,3, 
2016,7,19,7,10,3, 
2016,7,19,8,26,3, 
2016,7,19,9,31,3, 
2016,7,19,10,16,3, 
2016,7,19,11,16,3, 
2016,7,19,12,27,3, 
2016,7,19,13,51,3, 
2016,7,19,14,35,3, 
2016,7,19,15,21,3, 
2016,7,19,16,24,3, 
2016,7,19,17,28,3, 
2016,7,19,18,52,3, 
2016,7,19,19,40,3, 
2016,7,19,20,43,3, 
2016,7,19,21,24,3, 
2016,7,19,22,7,3, 
2016,7,19,23,24,3, 
2016,7,19,24,10,3, 
2016,7,20,0,488,4, 
2016,7,20,1,5,4, 
2016,7,20,4,1,4, 
2016,7,20,6,2,4, 
2016,7,20,7,9,4, 
2016,7,20,8,24,4, 
2016,7,20,9,31,4, 
2016,7,20,10,11,4, 
2016,7,20,11,14,4, 
2016,7,20,12,36,4, 
2016,7,20,13,38,4, 
2016,7,20,14,33,4, 
2016,7,20,15,18,4, 
2016,7,20,16,26,4, 
2016,7,20,17,28,4, 
2016,7,20,18,43,4, 
2016,7,20,19,42,4, 
2016,7,20,20,35,4, 
2016,7,20,21,36,4, 
2016,7,20,22,35,4, 
2016,7,20,23,12,4, 
2016,7,20,24,9,4, 
2016,7,21,0,540,5, 
2016,7,21,1,4,5, 
2016,7,21,2,4,5, 
2016,7,21,3,1,5, 
2016,7,21,4,1,5, 
2016,7,21,5,2,5, 
2016,7,21,6,3,5, 
2016,7,21,7,12,5, 
2016,7,21,8,26,5, 
2016,7,21,9,38,5, 
2016,7,21,10,20,5, 
2016,7,21,11,16,5, 
2016,7,21,12,31,5, 
2016,7,21,13,40,5, 
2016,7,21,14,34,5, 
2016,7,21,15,25,5, 
2016,7,21,16,22,5, 
2016,7,21,17,36,5, 
2016,7,21,18,52,5, 
2016,7,21,19,48,5, 
2016,7,21,20,49,5, 
2016,7,21,21,24,5, 
2016,7,21,22,26,5, 
2016,7,21,23,15,5, 
2016,7,21,24,11,5, 
2016,7,22,0,471,6, 
2016,7,22,1,2,6, 
2016,7,22,2,3,6, 
2016,7,22,3,1,6, 
2016,7,22,5,2,6, 
2016,7,22,6,2,6, 
2016,7,22,7,10,6, 
2016,7,22,8,22,6, 
2016,7,22,9,25,6, 
2016,7,22,10,13,6, 
2016,7,22,11,16,6, 
2016,7,22,12,39,6, 
2016,7,22,13,47,6, 
2016,7,22,14,49,6, 
2016,7,22,15,19,6, 
2016,7,22,16,35,6, 
2016,7,22,17,23,6, 
